,Time,Sentiment,Price
0,20171113,0.38021943904690936,6570.0
1,20171112,0.38021943904690936,6241.0
2,20171111,0.38021943904690936,6079.3
3,20171110,0.38021943904690936,6704.1
4,20171109,0.38021943904690936,7195.0
5,20171108,0.38021943904690936,7376.9
6,20171107,0.38021943904690936,7364.3
7,20171106,0.38021943904690936,7186.8
8,20171105,0.38021943904690936,7316.7
9,20171104,0.38021943904690936,7489.9
10,20171103,0.38021943904690936,7191.0
11,20171102,0.38021943904690936,7210.1
12,20171101,0.38021943904690936,6657.3
13,20171031,0.38021943904690936,6406.5
14,20171030,0.38021943904690936,6135.3
15,20171029,0.38021943904690936,6125.0
16,20171028,0.38021943904690936,5795.0
17,20171027,0.38021943904690936,5768.1
18,20171026,0.38021943904690936,5895.0
19,20171025,0.38021943904690936,5735.0
20,20171024,0.38021943904690936,5470.0
21,20171023,0.38021943904690936,5820.5
22,20171022,0.38021943904690936,5996.0
23,20171021,0.38021943904690936,5861.7
24,20171020,0.38021943904690936,6080.0
25,20171019,0.38021943904690936,5691.4
26,20171018,0.38021943904690936,5572.3
27,20171017,0.38021943904690936,5372.2
28,20171016,0.38021943904690936,5637.6
29,20171015,0.38021943904690936,5661.0
30,20171014,0.38021943904690936,5739.9
31,20171013,0.38021943904690936,5585.7
32,20171012,0.38021943904690936,5511.7
33,20171011,0.38021943904690936,4896.9
34,20171010,0.38021943904690936,4764.1
35,20171009,0.38021943904690936,4827.0
36,20171008,0.38021943904690936,4561.0
37,20171007,0.38021943904690936,4463.6
38,20171006,0.38021943904690936,4345.0
39,20171005,0.38021943904690936,4394.7
40,20171004,0.38021943904690936,4157.6
41,20171003,0.38021943904690936,4332.3
42,20171002,0.2505911694572912,4292.0
43,20171001,0.2883043981056517,4409.0
44,20170930,0.22871109056917982,4315.0
45,20170929,0.3806278258579074,4244.9
46,20170928,0.24809526009512026,4051.8
47,20170927,0.2625429079708684,4197.9
48,20170926,0.2625429079708684,3933.6
49,20170925,0.347151782235405,3886.7
50,20170924,0.3069042819449387,3773.0
51,20170923,0.22740568414417128,3659.9
52,20170922,0.07673560909897316,3712.9
53,20170921,0.318641544217865,3753.2
54,20170920,0.318641544217865,3871.9
55,20170919,0.1980971309285184,3944.9
56,20170918,0.3049536211823958,3969.2
57,20170917,0.292749113295036,3900.0
58,20170916,0.2596776886772127,3643.2
59,20170915,0.25284511111632846,3789.9
60,20170914,0.09739457147044052,3167.3
61,20170913,0.16079828706521007,3830.6
62,20170912,0.25591845918058764,4020.8
63,20170911,0.3467723630228228,4347.7
64,20170910,0.2917620893733621,4184.1
65,20170909,0.3370602849342434,4280.1
66,20170908,0.11018949237374867,4436.6
67,20170907,0.24013439101853573,4621.7
68,20170906,0.17587381606832045,4538.7
69,20170905,0.2585821529543866,4510.5
70,20170904,0.3363159213279587,4337.3
71,20170903,0.3452091436650593,4566.7
72,20170902,0.410246838560282,4660.0
73,20170901,0.34961641313783115,4750.0
74,20170831,0.371981770591173,4713.3
75,20170830,0.25394288550817595,4610.2
76,20170829,0.21874676944921964,4604.0
77,20170828,0.21874676944921964,4371.2
78,20170827,0.3598057072808753,4265.5
79,20170826,0.26887507826993684,4356.0
80,20170825,0.22403883946656988,4320.5
81,20170824,0.16035248567793672,4320.0
82,20170823,0.18468143537746343,4164.0
83,20170822,0.3523245671300772,4090.2
84,20170821,0.3151493556819943,3847.4
85,20170820,0.10876035749010954,4002.1
86,20170819,0.27383642364593547,4098.0
87,20170818,0.2287504066057202,4045.4
88,20170817,0.29796878488148787,4269.8
89,20170816,0.152765307186486,4319.0
90,20170815,0.15091089305019034,4061.3
91,20170814,0.30374067910015107,4220.0
92,20170813,0.37456593042579167,4074.9
93,20170812,0.34140746243192505,4094.5
94,20170811,0.3758329745600802,3761.8
95,20170810,0.243127877976264,3473.2
96,20170809,0.16266069617076145,3362.0
97,20170808,0.3751261826692668,3402.5
98,20170807,0.3620419192525838,3402.9
99,20170806,0.4232222785640444,3222.5
100,20170805,0.03370941542788476,3207.4
101,20170804,0.2959419357690376,3112.0
102,20170803,0.43510436996532165,2779.5
103,20170802,0.5045077403204518,2711.6
104,20170801,0.38579380415996084,2732.0
105,20170731,0.20538887673196699,2863.0
106,20170730,0.20538887673196699,2722.1
107,20170729,0.21995154183116494,2741.0
108,20170728,0.2540792928216312,2740.9
109,20170727,0.2800075998644351,2682.1
110,20170726,0.29979533674737996,2560.0
111,20170725,0.1149573421446629,2451.0
112,20170724,0.5002746636988847,2763.6
113,20170723,0.43108252354295723,2741.0
114,20170722,0.2777090506131157,2788.0
115,20170721,0.4854968579086719,2752.1
116,20170720,0.3376769740993703,2759.7
117,20170719,0.25877486715415804,2319.1
118,20170718,0.39237710237276197,2348.3
119,20170717,0.4685222099196068,2238.4
120,20170716,0.3360522452634446,2028.4
121,20170715,0.12597394868986372,1984.8
122,20170714,0.4542367943161525,2106.1
123,20170713,0.15406235227181583,2337.5
124,20170712,0.29094835438614375,2384.0
125,20170711,0.38862384789905235,2312.5
126,20170710,0.510614340603299,2343.4
127,20170709,0.510614340603299,2513.8
128,20170708,0.21502846353920602,2555.5
129,20170707,0.41530443718718674,2498.6
130,20170706,0.3480927641863872,2577.0
131,20170705,0.18694484779031673,2618.2
132,20170704,0.09310500971278221,2562.7
133,20170703,0.0669665313504003,2627.0
134,20170702,0.18882317328969558,2499.9
135,20170701,0.29059122537644677,2415.2
136,20170630,0.2683340719507728,2491.9
137,20170629,0.2703343362665517,2515.7
138,20170628,0.11723817518397327,2564.8
